Close,Net Chg,Open,High,Low,Tick Count,Volume
131,-1.48,126.4,132.25,126,335997,230269199
131.02,0.02,131,132.21,130.07,153768,109198487
128.43,-2.59,127.17,131,126.84,324524,229963233
133.77,5.34,128.44,133.88,127.88,229453,168604608
134,0.23,134.26,135.26,133.31,211967,140700627
135,1,134.02,135.46,133.8,112407,80479536
133.68,-1.32,136.49,136.76,133.58,203207,138251853
133,-0.68,133.68,134.05,130,140435,88322279
134.3,1.3,133.26,134.68,132.06,183850,114550093
135.31,1.01,134.3,135.33,133.73,104883,69878320
135.71,0.4,136.1,136.32,134.88,138054,87017038
136.05,0.34,135.71,136.45,135.38,79038,48961393
135.87,-0.18,135.58,136.19,135.23,107197,67227553
135.36,-0.51,135.87,138.54,135.05,267798,214776125
136.35,0.99,133.4,137.46,133.2,238987,162358773
137.34,0.99,136.35,138.54,136.28,139594,96185205
138.53,1.19,137.94,139.61,137.52,181750,113360041
139.45,0.92,138.55,139.51,138.28,86068,52238917
138.23,-1.22,139.21,139.3,138.05,116445,65750701
137.99,-0.24,138.23,138.58,137.88,64208,36745313
134.75,-3.24,135.86,136.25,134.55,216206,141907194
133.76,-0.99,134.74,135.14,133.68,137371,90126424
134.42,0.66,134.58,135.25,133.45,167670,110631126
132.73,-1.69,134.42,134.44,132.41,135078,95802129
133.69,0.96,132.1,133.92,131.73,240118,148251576
133.8,0.11,133.7,134.79,132.33,149772,105738023
132.8,-1,133.24,134.22,132.35,153850,97114259
133.12,0.32,132.79,133.72,132.1,118017,78935583
134.06,0.94,133.1,134.13,132.04,170492,110656362
133.89,-0.17,134.06,134.23,133.45,93492,55825805
135.82,1.93,134.91,136.31,134.56,192986,119703036
134.95,-0.87,135.82,135.94,133.98,150333,93142991
136.451,1.501,136.06,137.1,135.14,162110,96759832
136.69,0.239,136.44,137.06,136.08,88673,54128194
135.42,-1.27,136.95,137,135.25,158137,103206424
135,-0.42,135.421,135.89,134.79,116875,74204435
134.16,-0.84,134.55,135,133.36,140749,80646512
135.06,0.9,134.16,136.1,134,72706,41734405
136.36,1.3,136.69,136.89,135.45,128157,70220710
135.01,-1.35,136.36,136.38,134.61,94310,56023077
135.26,0.25,133.99,135.98,133.76,196646,111278553
136.095,0.835,135.27,136.55,135,142012,85456310
135.13,-0.965,136.66,137.01,134.8,176608,111226215
134.49,-0.64,135.13,135.38,134.07,110785,62470170
133.32,-1.17,134.97,135.07,133.01,153112,91911485
135.65,2.33,133.34,135.65,132.86,145631,88450432
135.54,-0.11,135.54,136.52,134.78,165717,78505368
137.32,1.78,135.54,138,135.25,161614,89576278
138.44,1.12,136.73,138.95,136.5,189000,107369615
138.34,-0.1,138.44,138.9,137.65,109713,59284975
138.8,0.46,137.56,139.14,137.41,175771,92760897
138.14,-0.66,138.81,138.9,137.66,100393,54481370
136.78,-1.36,137.24,137.96,136.55,172414,87286608
136.98,0.2,136.79,137.67,136.7,92557,49468738
134.63,-2.35,135.6,135.68,134.25,178854,105562482
133.23,-1.4,134.62,134.62,132.78,144114,87363082
133.31,0.08,133.14,133.81,132.43,178769,104148972
133.43,0.12,133.31,133.6,132.24,111377,62756873
131.91,-1.52,132.23,133,131.28,202665,124992406
132.9,0.99,131.91,133.4,130.99,218104,132529925
133.14,0.24,133.41,134.77,132.98,249900,143496335
133.71,0.57,133.14,133.73,132.34,152063,92708782
131.66,-2.05,132.98,133.22,131.55,216814,126064697
130.82,-0.84,131.66,132.16,130.66,143953,84927188
129.87,-0.95,129.73,131.74,129.445,257844,149995412
129.72,-0.15,129.87,131,128.58,214038,123083404
128.56,-1.16,129.81,129.93,128.15,218538,123512942
127.88,-0.68,128.56,128.76,127.59,150902,89132749
130.14,2.26,130.72,130.96,128.95,288596,156223466
132.36,2.22,130.14,132.46,129.73,184512,108302280
132.78,0.42,132.73,133.77,131.93,198260,116992368
131.33,-1.45,132.77,132.78,131.16,132662,76564644
131.84,0.51,129.61,131.95,128.6,356923,192770100
131.86,0.02,131.85,132.64,131.45,207713,115418088
128.96,-2.9,132.77,132.81,128,406541,246841728
129.23,0.27,128.97,132,127.78,270357,151754039
126.57,-2.66,126.35,129.02,126.07,366789,196313134
127.96,1.39,126.56,129.26,126.1,225067,129937901
131.91,3.95,130.62,132.05,130.42,185567,103814911
133.31,1.4,131.9,133.38,129.98,327380,171015574
132.48,-0.83,134.14,134.65,132,257928,153345807
130.35,-2.13,132.48,132.58,130.24,215340,131513674
131.03,0.68,130.04,131.39,129.26,219610,125295623
132.74,1.71,131.02,132.91,131.02,135087,79633729
135.56,2.82,133.31,135.81,133.24,206505,118080200
134.81,-0.75,135.56,135.66,134.44,106913,61699054
135.1,0.29,134.86,135.33,133.77,194656,99702213
135.05,-0.05,135.1,135.55,134.82,108624,53783688
133.74,-1.31,134.46,134.54,133.45,172998,98756481
133.83,0.09,133.75,135.19,133.5,113223,63250831
133.89,0.06,134.2,134.44,132.75,202321,110044596
132.5,-1.39,133.9,134.05,132.36,146915,78763567
132.54,0.04,132.99,133.36,132.29,158795,85179911
131.43,-1.11,132.54,133.8,131.06,116521,64970877
132.55,1.12,131.29,132.62,131.09,134607,74481833
132.04,-0.51,132.55,132.73,131.78,94146,56898767
135.83,3.79,133.61,135.91,133.51,207866,114623477
136.81,0.98,135.84,136.84,135.35,157910,93872369
136.95,0.14,137.06,137.67,136.25,214489,118728294
136.65,-0.3,136.95,137.51,135.98,136150,70473925
137.27,0.62,135.94,137.44,135.71,165897,91413944
136.73,-0.54,137.28,137.33,136.39,99558,55281318
137.93,1.2,136.95,137.94,136.12,189215,101366936
136.97,-0.96,137.94,137.96,136.55,107328,54961050
138.12,1.15,137.87,138.57,137,150744,74290066
137.05,-1.07,138.14,138.245,136.74,112817,61833342
136.36,-0.69,136.19,136.92,136.1,127730,68004876
136.55,0.19,136.35,136.73,135.95,108588,63929490
135.37,-1.18,136.61,136.8,135.01,187418,110019631
135.39,0.02,135.36,135.7,134.89,102641,58314685
136.32,0.93,135.39,136.67,134.9,180283,106025818
135.9,-0.42,136.32,136.64,135.55,103855,61133420
134,-1.9,134.48,135.12,133.91,180906,112254417
133.31,-0.69,133.99,134.04,133.01,109523,68799548
133.22,-0.09,133.19,133.54,132.57,175696,94985631
132.79,-0.43,133.23,133.28,132.55,86725,45069279
132.91,0.12,133.58,133.69,132.33,178090,91175309
133.52,0.61,132.92,133.56,132.76,105730,51071890
135.55,2.03,134.54,135.69,134.4,172314,98157394
136.19,0.64,135.55,136.5,135.16,97833,54224034
136.37,0.18,136.02,136.65,135.66,173132,92423697
136.41,0.04,136.37,136.82,136,101651,53179074
139.49,3.08,138.94,139.56,136.504,177190,107978514
138.96,-0.53,139.49,140.15,136.505,102522,66430963
138.48,-0.48,138.23,138.65,136.87,122732,61688729
138.78,0.3,138.49,138.98,138.13,79339,38439231
137.26,-1.52,138.19,138.37,136.64,167449,91106058
137.7,0.44,137.25,137.7,135.62,93378,46974529
137.68,-0.02,138.09,138.78,137.12,195423,112927059
