Last Price,Ask Price,Bid Price,UBB(2),BollMA (20),LBB(2),EMAVG (5),SMAVG (200),SPY US Equity - Volume,SMAVG (15),BollW (SPY US),%B (SPY US),"MACD(12,26)",Sig(9),Diff,RSI,Moving Average,SPX Index - Last Price,CBOE VIX index- Last Price
91.07,91.1,91.04,92.7094,90.1003,87.4911,89.3583,96.1135,44645400,31211126,5.7916,0.6858,-0.5105,-0.3904,-0.1202,53.651,45.9629,909.03,25.39
91.35,91.65,91.3,92.4955,90.0452,87.595,90.0222,95.9941,32227900,30745794,5.4422,0.7663,-0.3308,-0.3785,0.0477,54.6006,46.3983,908.59,24.68
92.96,92.98,92.91,92.8228,90.1217,87.4207,91.0015,95.8824,41009800,31180694,5.9943,1.0254,-0.0577,-0.3143,0.2566,59.7118,47.5421,929.01,24.91
92.73,92.6,92.51,92.9716,90.1568,87.3419,91.5776,95.7709,38656800,31299300,6.2443,0.9571,0.1385,-0.2238,0.3622,58.6952,48.022,922.93,25.13
91.39,91.59,91.47,93.0983,90.2513,87.4043,91.5151,95.6598,38739700,31407314,6.3091,0.7,0.1838,-0.1422,0.326,53.0303,48.2903,909.93,25.53
92.81,93.17,92.89,93.4113,90.3568,87.3022,91.9467,95.5525,34858800,31570846,6.761,0.9016,0.3304,-0.0477,0.3781,57.6904,49.1323,927.58,24.25
93.06,93.34,93.28,93.7424,90.4707,87.1991,92.3178,95.4449,37773300,31712314,7.2325,0.8957,0.4615,0.0541,0.4074,58.4716,50.1711,927.57,24.32
93.03,93.03,92.93,94.0399,90.5837,87.1276,92.5552,95.3375,31676800,31204546,7.6307,0.8539,0.5565,0.1546,0.4019,58.3324,50.9731,926.26,24.9
93.33,93.59,93.51,94.3867,90.7832,87.1798,92.8135,95.2313,30924700,31187294,7.9385,0.8534,0.6486,0.2534,0.3952,59.3739,51.8411,931.66,24.57
92.4,92.28,92.17,94.4747,90.8207,87.1668,92.6757,95.1236,33543000,31913794,8.0465,0.7161,0.6391,0.3305,0.3086,54.8011,52.5508,918.22,25.51
92.02,91.5,91.45,94.5705,90.8792,87.188,92.4571,95.018,45381800,34210112,8.1234,0.6545,0.5941,0.3833,0.2109,53.0048,53.1212,914.6,25.01
90.66,90.7,90.63,94.5821,90.9222,87.2624,91.8581,94.9079,35621000,35418848,8.0505,0.4642,0.4436,0.3953,0.0483,47.0594,53.7444,901.78,25.7
89.25,89.2,89.12,94.5781,90.9268,87.2754,90.9887,94.7907,42376400,36763068,8.0315,0.2704,0.2081,0.3579,-0.1498,41.8218,53.7517,887.62,27.59
88.17,88.56,88.5,94.6625,90.8357,87.009,90.0491,94.6669,42816000,37619312,8.4256,0.1517,-0.0649,0.2733,-0.3382,38.3051,53.4678,878.36,29.01
88.71,88.91,88.84,94.6942,90.7702,86.8463,89.6028,94.5498,56082000,39088892,8.6459,0.2375,-0.235,0.1717,-0.4066,40.9775,52.5626,887.34,27.53
86.38,86.4,86.3,94.9531,90.6215,86.2899,88.5285,94.4146,68703000,40692732,9.5599,0.0104,-0.5514,0.0271,-0.5785,34.1115,51.0991,861.4,31.51
85.2,85.32,85.19,95.3276,90.412,85.4964,87.419,94.2877,58297300,42430692,10.8737,-0.0302,-0.8872,-0.1558,-0.7314,31.2553,49.0664,847.48,34.69
85.83,86.09,85.71,95.4822,90.3345,85.1868,86.8893,94.1597,46965300,42827728,11.397,0.0625,-1.0899,-0.3426,-0.7473,34.4129,47.332,858.54,31.93
86.48,86.55,86.5,95.5873,90.253,84.9187,86.7529,94.0393,53780800,43835992,11.8207,0.1463,-1.1844,-0.511,-0.6735,37.5976,46.2297,864.36,31.26
84.43,84.4,84.35,95.9173,90.063,84.2087,85.9786,93.8954,49886700,44579128,13.0005,0.0189,-1.4085,-0.6905,-0.718,32.2748,44.4143,844.61,31.32
86.06,86.13,86.02,95.8972,89.8125,83.7278,86.0057,93.7609,55323600,45943448,13.5498,0.1916,-1.438,-0.84,-0.598,39.5972,43.0661,855.7,31.17
86.23,86.35,86.3,95.7899,89.5565,83.3231,86.0805,93.6297,39799900,46078552,13.9207,0.2332,-1.4312,-0.9582,-0.473,40.322,41.7796,860.32,31.02
85.38,85.4,85.3,95.4587,89.1775,82.8963,85.847,93.4922,43762600,46884272,14.0869,0.1977,-1.4773,-1.062,-0.4153,37.875,40.244,848.2,32.76
84.85,84.83,84.7,95.1123,88.7835,82.4547,85.5147,93.3615,55304300,48509580,14.2567,0.1892,-1.5389,-1.1574,-0.3815,36.3921,38.9291,843.59,33.04
84.45,84.83,84.5,94.9148,88.4365,81.9582,85.1598,93.2311,53664400,49851008,14.6508,0.1923,-1.6016,-1.2462,-0.3553,35.2697,37.6623,838.15,33.35
83.42,83.35,83.23,94.4705,87.967,81.4636,84.5798,93.1012,43170200,49703568,14.7861,0.1504,-1.7145,-1.3399,-0.3746,32.4909,36.6217,829.69,34.01
84.01,84.2,84.11,93.793,87.5145,81.236,84.3899,92.9739,45476500,50360600,14.3485,0.2209,-1.7364,-1.4192,-0.3172,35.6199,36.1787,835.97,33.99
83.43,83.25,83.21,93.0137,87.0345,81.0553,84.0699,92.8541,46887400,50661332,13.7398,0.1986,-1.7801,-1.4914,-0.2887,33.9539,35.8679,829.2,33.68
82.1,82.15,82.09,92.0795,86.473,80.8665,83.4133,92.7303,35929500,50202232,12.967,0.11,-1.9001,-1.5731,-0.327,30.438,35.1151,818.68,34.33
82.35,82.29,82.2,91.147,85.9705,80.794,83.0589,92.6027,58073500,50335000,12.0426,0.1503,-1.9525,-1.649,-0.3035,31.8662,34.9547,817.37,33.7
84.15,84.48,84.25,89.9952,85.577,81.1588,83.4226,92.4776,59590200,49727480,10.3257,0.3385,-1.8278,-1.6848,-0.143,41.223,35.6667,834.89,32.62
85.63,85.58,85.52,89.0806,85.3255,81.5704,84.1584,92.3619,39527000,48476128,8.8019,0.5405,-1.5911,-1.666,0.0749,47.5954,36.6083,851.17,31.11
85.18,85.28,85.11,88.4173,85.122,81.8267,84.4989,92.2499,31441500,47441208,7.7426,0.5088,-1.4235,-1.6175,0.194,45.9637,37.2059,845.13,31.31
84.33,84.38,84.26,87.9265,84.93,81.9335,84.4426,92.1442,29300500,45809188,7.0564,0.3999,-1.3437,-1.5628,0.219,42.9672,37.9696,837.1,31.16
85.18,85.3,85.21,87.2049,84.7535,82.3021,84.6884,92.0446,60965300,46547760,5.7847,0.587,-1.1981,-1.4898,0.2917,46.7086,38.4776,848.17,30.25
83.8,83.56,83.47,86.99,84.6245,82.259,84.3923,91.9186,30703600,44906428,5.5905,0.3257,-1.1805,-1.428,0.2475,41.9025,38.5904,832.58,31.98
